BASKETID,BASKETTYPE,latitude,longitude,STREETNAME1,STREETNAME2,SECTION
31210007,S,40.6310744262,-73.9964414286,13 AVE,56 ST,BKS121
31010086,S,40.6377615824,-74.0253195678,3 AV,67 ST,BKS101
30650110,C,40.6669753925,-73.9883435279,5 AV,13 ST,BKS065
31010100,D,40.6392257614,-74.0371472467,,,BKS101
31610128,S,40.6560792684,-73.9074704546,ROCKAWAY AV,HEGEMAN AV,BKN161
31410131,D,40.6516360655,-73.9696909863,Street Name TBD,,BKS141
31030054,S,40.622636964,-74.0316130853,3 AV,87 ST,BKS103
31040041,H,40.6205129864,-74.0074380818,BAY RIDGE PKWY,13 AV,BKS104
30510078,R,40.6783878216,-73.8891054984,FULTON ST,BARBEY ST,BKN051
30220217,C,40.6874000322,-73.9803850366,Street Name TBD,,BKN022
30820084,S,40.6763896581,-73.9385499484,ALBANY AV,DEAN ST,BKN082
31850021,S,40.6187651726,-73.9266741997,UTICA AV,AV N,BKS185
31410125,D,40.649908727,-73.9677825363,Street Name TBD,,BKS141
30830116,R,40.6724460772,-73.9306440118,UTICA AV,PARK PL,BKN083
30820048,H,40.6775010669,-73.9499615625,NOSTRAND AV,PACIFIC ST,BKN082
30240155,S,40.688079756,-73.9679689023,LAFAYETTE AV,CLINTON AV,BKN024
30420063,R,40.7017493457,-73.914902354,WYCKOFF AV,BLEECKER ST,BKN042
31040054,S,40.6227982699,-74.0050971625,13 AV,71 ST,BKS104
31870047,S,40.609040758,-73.9320856204,AV S,E 35 ST,BKS187
31250072,D,40.6411095262,-73.9734827111,AV C,OCEAN PKWY,BKS125
30420043,R,40.7011674956,-73.9143072843,WYCKOFF AV,MENAHAN ST,BKN042
30910134,D,40.6694930225,-73.9457751903,Street Name TBD,,BKN091
30220086,S,40.6839582737,-73.9788770285,4 AV,PACIFIC ST,BKN022
30910113,D,40.6708065949,-73.9621959474,Street Name TBD,,BKN091
30510003,R,40.6780095066,-73.8908624159,FULTON ST,HENDRIX ST,BKN051
30820166,R,40.6737336651,-73.9537620925,BEDFORD AV,PARK PL,BKN082
30910050,S,40.6655628904,-73.950683897,MONTGOMERY ST,NOSTRAND AV,BKN091
30830077,S,40.6695959997,-73.9312251086,UTICA AV,LINCOLN PL,BKN083
30210219,C,40.6898191384,-73.9811193382,FLATBUSH AV EX,DEKALB AVENUE,BKN021
30610029,S,40.6778320695,-74.0119523274,VAN BRUNT ST,SULLIVAN ST,BKS061
31420009,S,40.6411050006,-73.9642072512,CORTELYOU RD,MARLBOROUGH RD,BKS142
30410041,R,40.7032855394,-73.9305671829,WILSON AV,NOLL ST,BKN041
30420050,R,40.6970908448,-73.9155885375,KNICKERBOCKER AV,LINDEN ST,BKN042
30810209,D,40.6743836045,-73.9702340254,GRAND ARMY PLZ,GRAND ARMY PLZ,BKN081
31540043,S,40.5841146904,-73.9390554753,EMMONS AV,NOSTRAND AV,BKS154
31750049,S,40.6417247571,-73.932994555,AV D,E 46 ST,BKN175
31550054,D,40.5975844623,-73.9652243335,AV U,OCEAN PKWY,BKS155
30740038,S,40.6396871527,-74.0161869663,5 AV,60 ST,BKS074
30210260,C,40.6918691634,-73.9821493062,FLATBUSH AV EX,WILLOUGHBY ST,BKN021
30210240,C,40.6914786867,-73.9870416555,JAY ST,FULTON ST,BKN021
30410153,S,40.7050792793,-73.9253254995,IRVING AV,JEFFERSON ST,BKN041
30640018,S,40.6732515358,-73.9760137384,7 AV,CARROLL ST,BKS064
30630029,S,40.6810829587,-73.9755543448,FLATBUSH AV,BERGEN ST,BKS063
30330067,S,40.6807776701,-73.9378092536,MARCUS GARVEY BLVD,DECATUR ST,BKN033
30650066,S,40.6672960322,-73.9915394304,4 AV,14 ST,BKS065
31610047,S,40.6574436363,-73.914253671,SARATOGA AV,E 98 ST,BKN161
